XPath,Tag,Text
"/html","html","Important: Suspension of flights to/from Tel Aviv Show more BOOK MANAGE EXPERIENCE WHERE WE FLY LOYALTY HELP US SEARCH LOG IN Fly and earn DOUBLE TIER MILES across our network Learn more Fly and earn DOUBLE TIER MILES across our network Learn more Search flights Manage booking/Check in What's on your flight Flight status Flight or Flight + Hotel Flight Vacations package Advanced search: multicity  promo codes  partner airlines Departure Airport 30 results found Arrival Airport 30 results found Continue Hotels Car rentals Opens an external link in a new tab Tours & activities Book a vacation Opens an external link in a new tab Dubai Experience Pay in installments Meet & Greet Opens an external link in a new tab Airport transfers Opens an external link in a new tab Featured destinations from New York John F. Kennedy ITALY Milan Book Economy Class Return until 08 May 25 from USD 684* INDIA Hyderabad Book Economy Class Return until 08 May 25 from USD 969* BANGLADESH Dhaka Book Economy Class Return until 08 May 25 from USD 1102* CHINA Shanghai Book Economy Class Return until 08 May 25 from USD 1227* UNITED ARAB EMIRATES Dubai Book Premium Economy Return until 08 May 25 from USD 3025* ITALY Milan Book Business Class Return until 08 May 25 from USD 3348* See more fares redirects to Featured fares See more fares *Terms and conditions apply Explore more destinations Be inspired by our route map SKYWARDS+ Enhance your benefits with Skywards+ Choose from 3 packages loaded with what you love  from airport lounge access and extra baggage allowance  to exclusive Cash+Miles rates and discounts. Learn more Learn more :Enhance your benefits with Skywards+ FLYING WITH EMIRATES Make it an incredible journey Explore the Emirates experience and plan an unforgettable trip beyond your flight. DUBAI EXPERIENCE Create your Dubai Experience Learn more CABIN FEATURES First Class Learn more CABIN FEATURES Business Class Learn more CABIN FEATURES Premium Economy Learn more CABIN FEATURES Economy Class Learn more About us Learn more about our history  our business and sustainability initiatives Our business Our planet Our people Our communities About Us About us Careers Opens an external link in a new tab Media Center Opens an external link in a new tab Our planet Our people Our communities Help Help and Contact Travel Updates Special Assistance Frequently asked questions Book Book flights Travel services Transportation Planning your trip Dubai Experience Manage Check-in Manage Your Booking Chauffeur-drive service Flight status Before you fly Baggage Visa and passport information Health Travel information Dubai International Getting to and from the airport Rules and notices Where we fly Route map Africa Asia and the Pacific Europe The Americas The Middle East Flights to all countries/territories Experience Cabin features Shop Emirates What's on your flight Inflight entertainment Dining Our lounges Dubai Stopover Loyalty Log in to Emirates Skywards Join Emirates Skywards Our partners Business Rewards benefits Register your company Emirates Skywards Program Rules Subscribe to our special offers Save with our latest fares and offers. Unsubscribe or change your preferences Email address Subscribe For details about how we use your information  please see our privacy policy. Emirates App Book and manage your flights on the go. Connect with us Share your Emirates experience. Connect with us on Facebook - Opens an external link in a new tab Connect with us on X-social - Opens an external link in a new tab Connect with us on LinkedIn - Opens an external link in a new tab Connect with us on Youtube - Opens an external link in a new tab Connect with us on Instagram - Opens an external link in a new tab Connect with us on Snapchat - Opens an external link in a new tab Connect with us on Tiktok - Opens an external link in a new tab Accessibility statement Contact us Privacy Policy Terms and conditions Cookie Policy Cybersecurity Modern Slavery Act Transparency Statement Sitemap Customer Service Plan Optional services © 2025 The Emirates Group. All Rights Reserved. We value your privacy We use cookies to help our website function properly  for analytics  marketing and to personalise the content you see. By accepting  you agree to the use of all of these cookies. You can update your preferences by clicking the cookie preferences button or at any time by going to our cookie policy. Cookie preferences Accept"
"/html/body","body","Important: Suspension of flights to/from Tel Aviv Show more BOOK MANAGE EXPERIENCE WHERE WE FLY LOYALTY HELP US SEARCH LOG IN Fly and earn DOUBLE TIER MILES across our network Learn more Fly and earn DOUBLE TIER MILES across our network Learn more Search flights Manage booking/Check in What's on your flight Flight status Flight or Flight + Hotel Flight Vacations package Advanced search: multicity  promo codes  partner airlines Departure Airport 30 results found Arrival Airport 30 results found Continue Hotels Car rentals Opens an external link in a new tab Tours & activities Book a vacation Opens an external link in a new tab Dubai Experience Pay in installments Meet & Greet Opens an external link in a new tab Airport transfers Opens an external link in a new tab Featured destinations from New York John F. Kennedy ITALY Milan Book Economy Class Return until 08 May 25 from USD 684* INDIA Hyderabad Book Economy Class Return until 08 May 25 from USD 969* BANGLADESH Dhaka Book Economy Class Return until 08 May 25 from USD 1102* CHINA Shanghai Book Economy Class Return until 08 May 25 from USD 1227* UNITED ARAB EMIRATES Dubai Book Premium Economy Return until 08 May 25 from USD 3025* ITALY Milan Book Business Class Return until 08 May 25 from USD 3348* See more fares redirects to Featured fares See more fares *Terms and conditions apply Explore more destinations Be inspired by our route map SKYWARDS+ Enhance your benefits with Skywards+ Choose from 3 packages loaded with what you love  from airport lounge access and extra baggage allowance  to exclusive Cash+Miles rates and discounts. Learn more Learn more :Enhance your benefits with Skywards+ FLYING WITH EMIRATES Make it an incredible journey Explore the Emirates experience and plan an unforgettable trip beyond your flight. DUBAI EXPERIENCE Create your Dubai Experience Learn more CABIN FEATURES First Class Learn more CABIN FEATURES Business Class Learn more CABIN FEATURES Premium Economy Learn more CABIN FEATURES Economy Class Learn more About us Learn more about our history  our business and sustainability initiatives Our business Our planet Our people Our communities About Us About us Careers Opens an external link in a new tab Media Center Opens an external link in a new tab Our planet Our people Our communities Help Help and Contact Travel Updates Special Assistance Frequently asked questions Book Book flights Travel services Transportation Planning your trip Dubai Experience Manage Check-in Manage Your Booking Chauffeur-drive service Flight status Before you fly Baggage Visa and passport information Health Travel information Dubai International Getting to and from the airport Rules and notices Where we fly Route map Africa Asia and the Pacific Europe The Americas The Middle East Flights to all countries/territories Experience Cabin features Shop Emirates What's on your flight Inflight entertainment Dining Our lounges Dubai Stopover Loyalty Log in to Emirates Skywards Join Emirates Skywards Our partners Business Rewards benefits Register your company Emirates Skywards Program Rules Subscribe to our special offers Save with our latest fares and offers. Unsubscribe or change your preferences Email address Subscribe For details about how we use your information  please see our privacy policy. Emirates App Book and manage your flights on the go. Connect with us Share your Emirates experience. Connect with us on Facebook - Opens an external link in a new tab Connect with us on X-social - Opens an external link in a new tab Connect with us on LinkedIn - Opens an external link in a new tab Connect with us on Youtube - Opens an external link in a new tab Connect with us on Instagram - Opens an external link in a new tab Connect with us on Snapchat - Opens an external link in a new tab Connect with us on Tiktok - Opens an external link in a new tab Accessibility statement Contact us Privacy Policy Terms and conditions Cookie Policy Cybersecurity Modern Slavery Act Transparency Statement Sitemap Customer Service Plan Optional services © 2025 The Emirates Group. All Rights Reserved. We value your privacy We use cookies to help our website function properly  for analytics  marketing and to personalise the content you see. By accepting  you agree to the use of all of these cookies. You can update your preferences by clicking the cookie preferences button or at any time by going to our cookie policy. Cookie preferences Accept"
"/html/body/div","div","Important: Suspension of flights to/from Tel Aviv Show more"
"/html/body/div/div","div","Important: Suspension of flights to/from Tel Aviv Show more"
"/html/body/div/div/div","div","Important: Suspension of flights to/from Tel Aviv Show more"
"/html/body/div/div/div/p","p","Important: Suspension of flights to/from Tel Aviv"
"/html/body/div/div/div/p/span","span","Important:"
"/html/body/div/div/div/p/span/i","i",""
"/html/body/div/div/div/p/span/span","span","Important:"
"/html/body/div/div/div/p/a","a","Suspension of flights to/from Tel Aviv"
